year,harvest,block,treatment,group,biomass_g,biog
2016,Mid,A,Ambient,Bryophytes,2.8,0.7
2016,Mid,A,Ambient,Dead,18,4.5
2016,Mid,A,Ambient,Forbs,66,16.5
2016,Mid,A,Ambient,Graminoids,198.8,49.7
2016,Mid,A,Ambient,Legumes,30.8,7.7
2016,Mid,A,Ambient,Woody,0,0
2016,Mid,A,Procedural,Bryophytes,1.2,0.3
2016,Mid,A,Procedural,Dead,9.6,2.4
2016,Mid,A,Procedural,Forbs,80,20
2016,Mid,A,Procedural,Graminoids,186.8,46.7
2016,Mid,A,Procedural,Legumes,14.4,3.6
2016,Mid,A,Procedural,Woody,4,1
2016,Mid,A,Drought,Bryophytes,2,0.5
2016,Mid,A,Drought,Dead,5.6,1.4
2016,Mid,A,Drought,Forbs,70.8,17.7
2016,Mid,A,Drought,Graminoids,170.8,42.7
2016,Mid,A,Drought,Legumes,21.6,5.4
2016,Mid,A,Drought,Woody,2.8,0.7
2016,Mid,A,Irrigated,Bryophytes,4,1
2016,Mid,A,Irrigated,Dead,11.2,2.8
2016,Mid,A,Irrigated,Forbs,33.2,8.3
2016,Mid,A,Irrigated,Graminoids,176,44
2016,Mid,A,Irrigated,Legumes,124,31
2016,Mid,A,Irrigated,Woody,0,0
2016,Mid,B,Ambient,Bryophytes,0,0
2016,Mid,B,Ambient,Dead,13.6,3.4
2016,Mid,B,Ambient,Forbs,128.8,32.2
2016,Mid,B,Ambient,Graminoids,245.6,61.4
2016,Mid,B,Ambient,Legumes,93.2,23.3
2016,Mid,B,Ambient,Woody,33.2,8.3
2016,Mid,B,Procedural,Bryophytes,0.8,0.2
2016,Mid,B,Procedural,Dead,12.4,3.1
2016,Mid,B,Procedural,Forbs,40.8,10.2
2016,Mid,B,Procedural,Graminoids,239.2,59.8
2016,Mid,B,Procedural,Legumes,68.8,17.2
2016,Mid,B,Procedural,Woody,0,0
2016,Mid,B,Drought,Bryophytes,0.8,0.2
2016,Mid,B,Drought,Dead,45.6,11.4
2016,Mid,B,Drought,Forbs,225.2,56.3
2016,Mid,B,Drought,Graminoids,317.2,79.3
2016,Mid,B,Drought,Legumes,70.4,17.6
2016,Mid,B,Drought,Woody,18.8,4.7
2016,Mid,B,Irrigated,Bryophytes,5.2,1.3
2016,Mid,B,Irrigated,Dead,10,2.5
2016,Mid,B,Irrigated,Forbs,57.2,14.3
2016,Mid,B,Irrigated,Graminoids,222,55.5
2016,Mid,B,Irrigated,Legumes,10,2.5
2016,Mid,B,Irrigated,Woody,4,1
2016,Mid,C,Ambient,Bryophytes,6.4,1.6
2016,Mid,C,Ambient,Dead,25.2,6.3
2016,Mid,C,Ambient,Forbs,8.8,2.2
2016,Mid,C,Ambient,Graminoids,199.6,49.9
2016,Mid,C,Ambient,Legumes,129.2,32.3
2016,Mid,C,Ambient,Woody,0,0
2016,Mid,C,Procedural,Bryophytes,0,0
2016,Mid,C,Procedural,Dead,1.2,0.3
2016,Mid,C,Procedural,Forbs,3.2,0.8
2016,Mid,C,Procedural,Graminoids,118.8,29.7
2016,Mid,C,Procedural,Legumes,104.8,26.2
2016,Mid,C,Procedural,Woody,5.2,1.3
2016,Mid,C,Drought,Bryophytes,0,0
2016,Mid,C,Drought,Dead,2,0.5
2016,Mid,C,Drought,Forbs,61.6,15.4
2016,Mid,C,Drought,Graminoids,108,27
2016,Mid,C,Drought,Legumes,56.4,14.1
2016,Mid,C,Drought,Woody,0.8,0.2
2016,Mid,C,Irrigated,Bryophytes,2.4,0.6
2016,Mid,C,Irrigated,Dead,4.4,1.1
2016,Mid,C,Irrigated,Forbs,34.4,8.6
2016,Mid,C,Irrigated,Graminoids,200.8,50.2
2016,Mid,C,Irrigated,Legumes,4.4,1.1
2016,Mid,C,Irrigated,Woody,0,0
2016,Mid,D,Ambient,Bryophytes,1.2,0.3
2016,Mid,D,Ambient,Dead,4,1
2016,Mid,D,Ambient,Forbs,53.2,13.3
2016,Mid,D,Ambient,Graminoids,95.2,23.8
2016,Mid,D,Ambient,Legumes,35.2,8.8
2016,Mid,D,Ambient,Woody,3.6,0.9
2016,Mid,D,Procedural,Bryophytes,4,1
2016,Mid,D,Procedural,Dead,18.8,4.7
2016,Mid,D,Procedural,Forbs,16.4,4.1
2016,Mid,D,Procedural,Graminoids,317.6,79.4
2016,Mid,D,Procedural,Legumes,3.6,0.9
2016,Mid,D,Procedural,Woody,0,0
2016,Mid,D,Drought,Bryophytes,0,0
2016,Mid,D,Drought,Dead,18.4,4.6
