site,x,y,date,year,month,rainfall,sun_hours,tasmin,tasmax
Raindrop_Wytham,446500,208500,16/01/2000,2000,1,22.42274166,81.5982991,1.50710989,7.717238842
Raindrop_Wytham,446500,208500,16/02/2000,2000,2,86.09857877,104.2382871,2.943088465,9.499260238
Raindrop_Wytham,446500,208500,16/03/2000,2000,3,13.69414859,111.9919577,3.731851363,11.03566407
Raindrop_Wytham,446500,208500,16/04/2000,2000,4,167.6355517,142.8144399,4.14962289,11.67889291
Raindrop_Wytham,446500,208500,16/05/2000,2000,5,88.51413854,189.4673391,8.07913929,16.60470404
Raindrop_Wytham,446500,208500,16/06/2000,2000,6,29.38600964,163.5330087,11.34292142,19.85762943
Raindrop_Wytham,446500,208500,16/07/2000,2000,7,28.70947856,161.3506751,11.53325655,20.03615908
Raindrop_Wytham,446500,208500,16/08/2000,2000,8,71.33941409,207.2977041,12.47052525,21.92153503
Raindrop_Wytham,446500,208500,16/09/2000,2000,9,103.3348304,124.9415809,11.47900915,18.70781677
Raindrop_Wytham,446500,208500,16/10/2000,2000,10,133.1622333,83.22379692,7.556591725,13.61974975
Raindrop_Wytham,446500,208500,16/11/2000,2000,11,113.0121771,68.9585702,4.167515071,9.943364716
Raindrop_Wytham,446500,208500,16/12/2000,2000,12,133.523003,52.05909335,3.661541878,7.894812789
Raindrop_Wytham,446500,208500,16/01/2001,2001,1,66.76856552,82.86315226,0.705360287,5.94837006
Raindrop_Wytham,446500,208500,16/02/2001,2001,2,84.46141648,84.94996787,1.473015435,8.120930578
Raindrop_Wytham,446500,208500,16/03/2001,2001,3,81.91174814,74.09391396,2.651791998,8.351422984
Raindrop_Wytham,446500,208500,16/04/2001,2001,4,82.20638859,147.5158665,4.284213136,11.87809873
Raindrop_Wytham,446500,208500,16/05/2001,2001,5,37.97376147,197.5773954,7.568972158,17.66243032
Raindrop_Wytham,446500,208500,16/06/2001,2001,6,19.77812809,225.1010813,9.913144611,19.72450728
Raindrop_Wytham,446500,208500,16/07/2001,2001,7,79.1719694,204.5760852,12.83467994,22.51189398
Raindrop_Wytham,446500,208500,16/08/2001,2001,8,111.4081327,182.3062563,12.78487686,21.77437308
Raindrop_Wytham,446500,208500,16/09/2001,2001,9,39.84125931,122.1422492,10.18681586,17.02586979
Raindrop_Wytham,446500,208500,16/10/2001,2001,10,100.8246869,99.72789569,10.73219509,16.32629373
Raindrop_Wytham,446500,208500,16/11/2001,2001,11,45.55505713,86.57932604,3.631901461,10.55937707
Raindrop_Wytham,446500,208500,16/12/2001,2001,12,27.07219199,79.94934542,0.076347258,6.252336074
Raindrop_Wytham,446500,208500,16/01/2002,2002,1,62.16193006,43.83078163,2.817616237,8.570352553
Raindrop_Wytham,446500,208500,16/02/2002,2002,2,74.63242964,79.75321006,3.980603963,10.2376868
Raindrop_Wytham,446500,208500,16/03/2002,2002,3,32.52799797,100.2870432,3.866580703,11.51280845
Raindrop_Wytham,446500,208500,16/04/2002,2002,4,45.88213356,208.8623096,4.679201242,14.3799976
Raindrop_Wytham,446500,208500,16/05/2002,2002,5,70.96975762,176.9606529,8.01741055,16.06300284
Raindrop_Wytham,446500,208500,16/06/2002,2002,6,39.86944373,162.7857596,10.09112843,18.97033499
Raindrop_Wytham,446500,208500,16/07/2002,2002,7,103.8979059,177.6091455,11.80555054,21.14406715
Raindrop_Wytham,446500,208500,16/08/2002,2002,8,50.01674185,165.1252516,12.74709896,21.90684371
Raindrop_Wytham,446500,208500,16/09/2002,2002,9,24.90394454,166.2372448,9.880031295,19.06202021
Raindrop_Wytham,446500,208500,16/10/2002,2002,10,145.4631393,103.8810321,6.750517481,14.05419364
Raindrop_Wytham,446500,208500,16/11/2002,2002,11,146.7406471,52.51521724,6.109798126,11.25618081
Raindrop_Wytham,446500,208500,16/12/2002,2002,12,118.9281128,42.00341479,4.171153804,7.909057628
Raindrop_Wytham,446500,208500,16/01/2003,2003,1,91.22480686,87.66190123,1.638662797,6.974512147
Raindrop_Wytham,446500,208500,16/02/2003,2003,2,17.69568945,93.90339186,0.418002292,7.649458955
Raindrop_Wytham,446500,208500,16/03/2003,2003,3,35.19100891,153.8982798,2.486701688,12.56115974
Raindrop_Wytham,446500,208500,16/04/2003,2003,4,45.90356983,169.6394101,4.390147057,14.63053019
Raindrop_Wytham,446500,208500,16/05/2003,2003,5,61.47816422,190.4692317,7.769515492,16.73770777
Raindrop_Wytham,446500,208500,16/06/2003,2003,6,52.36019625,212.8036049,11.31911815,21.61987657
Raindrop_Wytham,446500,208500,16/07/2003,2003,7,57.3863184,190.0613967,13.06516608,22.74649965
Raindrop_Wytham,446500,208500,16/08/2003,2003,8,10.13816677,226.3599973,13.35981668,24.68289821
Raindrop_Wytham,446500,208500,16/09/2003,2003,9,20.02223433,173.3228045,8.567599958,20.60393551
Raindrop_Wytham,446500,208500,16/10/2003,2003,10,34.19924071,133.3802517,4.498620826,13.42911056
Raindrop_Wytham,446500,208500,16/11/2003,2003,11,97.82162826,79.12696985,5.400693423,11.30938763
Raindrop_Wytham,446500,208500,16/12/2003,2003,12,87.98891014,54.33472809,1.895971522,7.966762203
Raindrop_Wytham,446500,208500,16/01/2004,2004,1,77.8584933,62.31071648,2.46046673,8.112182947
Raindrop_Wytham,446500,208500,16/02/2004,2004,2,31.27214894,79.25642572,2.645060522,8.00832304
Raindrop_Wytham,446500,208500,16/03/2004,2004,3,47.59846824,100.7066449,2.928773756,10.15136217
Raindrop_Wytham,446500,208500,16/04/2004,2004,4,75.63593037,149.321245,5.435004312,13.80690896
Raindrop_Wytham,446500,208500,16/05/2004,2004,5,41.48924907,194.6182856,7.886285173,17.18989231
Raindrop_Wytham,446500,208500,16/06/2004,2004,6,23.44715796,222.2973982,11.2450593,20.84188913
Raindrop_Wytham,446500,208500,16/07/2004,2004,7,53.62591974,168.3328482,11.6464643,21.22197425
Raindrop_Wytham,446500,208500,16/08/2004,2004,8,168.6497613,192.1244824,13.66083506,22.53113705
Raindrop_Wytham,446500,208500,16/09/2004,2004,9,36.1592237,173.1782312,11.20262121,19.37629904
Raindrop_Wytham,446500,208500,16/10/2004,2004,10,138.9064955,101.2871107,7.938978485,13.95796406
Raindrop_Wytham,446500,208500,16/11/2004,2004,11,38.60843285,52.46415029,5.204789617,10.23641133
Raindrop_Wytham,446500,208500,16/12/2004,2004,12,45.17809767,58.65277219,2.261849945,8.071783105
Raindrop_Wytham,446500,208500,16/01/2005,2005,1,21.51215268,64.98857124,3.202171286,8.792046187
Raindrop_Wytham,446500,208500,16/02/2005,2005,2,19.55441116,66.26492968,1.67349472,6.68833586
Raindrop_Wytham,446500,208500,16/03/2005,2005,3,56.07815778,78.87185419,3.890767206,10.44631586
Raindrop_Wytham,446500,208500,16/04/2005,2005,4,57.92446244,135.8474791,5.139843834,13.51228951
Raindrop_Wytham,446500,208500,16/05/2005,2005,5,38.96869097,225.9902322,7.077743256,16.36483069
Raindrop_Wytham,446500,208500,16/06/2005,2005,6,64.15434347,177.3203561,11.22462899,20.80558285
Raindrop_Wytham,446500,208500,16/07/2005,2005,7,48.53962653,191.8175331,12.80201025,21.63564478
